Stream,Quadrat,Average cover
Mossom Creek,0,0.064
Mossom Creek,2.5,0.091
Mossom Creek,5,0.403
Noons Creek,0,0.178
Noons Creek,2.5,0.368
Noons Creek,5,0.016
Rodgers Creek,0,0.142
Rodgers Creek,2.5,0.3
Rodgers Creek,5,0.35
Hoy Creek,0,0.012
Hoy Creek,2.5,0.005
Hoy Creek,5,0.004
Stoney Creek,0,0.458
Stoney Creek,2.5,0.321
Stoney Creek,5,0.24
Eagle Creek,0,0.078
Eagle Creek,2.5,0.073
Eagle Creek,5,0.071
